#67 | Telephone Utilities
46andMix | Other
A_Connect | Education
AA | Computer Software
Abstract | Internet
Adonis | Health
Ahonetwo | Business Services
AI HR APP | Computer Software
"AIID | Builders/Residential,Computer Software"
ANAKIN | Internet
"app’arell | Manufacturing, Misc"
"Appbooks | Books, Magazines & Newspapers"
Augmented | Misc Manufacturing & Distributing
Aura | Computer Software
"B4Usend | Other, Computer Software"
BACHICAS | Women's Issues
BANDAI | Health
beep beep | Electronics Manufacturing & Equipment
BKFK | Retail Sales
BODUIT | Clothing Manufacturing
BOTDOJO | Education
"Botligion | Religious Organizations/Clergy,Computer Software"
Budpay | Savings & Loans
Carousel | Trucking
Centimint | Other
ChickStarter | Other
"CIRCUMPASS | Building Trade Unions,Real Estate"
Confessional | Other
COPYCATZ | Other
Covtrace | Transportation
Critic Acid | Other
DB9 | Electric Utilities
Disruptive Labs | Education
"Docs | Health,Health Services/HMOs,Doctors & Other Health Professionals"
"DR.INTERNET | Health,Health Professionals"
Droney | Transportation
"EasyLazy | Unions, Misc"
ecamino | Car Manufacturers
"Edgeucation | Education,Universities/Colleges & Schools,"
egoIDPsyche | Other
"ELEVATE | Air Transport,"
Emojee | Internet
"ENERGY CANDY | Food & Beverage, Health"
"Escargot | Foundations, Philanthropists & Non-Profits"
ESCAVE | Other
"ETM | Banks, Commercial"
FAM-ESS | Internet
FASCIA | Computer Software
FEEED | Internet
FIRESTARTER | Other
Forkaia® | EdTech
FORWARD | Education
"FOVIES | TV / Movies / Music,"
funfunfood | Food & Beverage
Game Chip | Computer Software
"GERMANA | Computer Software, Advertising/Public Relations"
GoGoGo | Computer Software
GPS PERSONAS | Other
Gpstickys | Electric Utilities
"Greenlit | Entertainment Industry, Internet"
Haba Haba | Restaurants & Drinking Establishments
"HaiR | Health, Health Services/HMOs"
HEAD GURU | Health
"Hiegraphics | Computer Software,"
HORREAL | Computer Software
HOWL | Internet
HYPE.YOU.UP | Other
INAFLASH | Internet
"INSOLAR | Alternative Energy Production & Services, Business Services,Power Utilities"
IQ BlindSpot | Internet
Jellyfish Antfarm | Food Products Manufacturing
"Karma Fund | Foundations, Philanthropists & Non-Profits"
Keanu Capital | Hedge Funds
KHOOBASH | Health
LANKING | Building Trade Unions
"LEFTY | Computer Software, Democratic/Liberal, ConserVative/Republican"
Let's Play | Internet
LIFESHOP | Insurance
LIGHT | Health
LIVE MEDITATION | Internet
LivWin | Other
LOOP | Waste Management
M.O.M | Computer Software
"Membrain | Health,Food Products Manufacturing"
"MICRO | Health,HMOs & Health Care Services,Drug Manufacturers"
MMMWC | Internet
"Mochi Tochi | Food Processing&Sales, Food Products Manufacturing"
Mochips | Food Products Manufacturing
MOGULY | Business Services
momandpop | Retail Sales
MONET VENTURES | Business Associations
MONKISH | Health
"Monmentum | Health, Computer Software"
Moonshadows | Internet
mooVRoom | Entertainment Industry
"moredata | Computer Software,Internet"
MOVIE ROOM | Entertainment Industry
MUSICGRAPH | Music Production
NAIM | Health
"Nemebeat | Sport, Professional"
nextsport | Processing
"Now Equity | Education,SecurIty & Investment"
OFFDIAL | Computer Software
ONE SPOT | Computer Software
OnSupply | Business Services
Open Closet | Business Services
ORIGAMI | Other
OTHERSIDE | Other
Paper to Database | Other
PARADISIO | Lodging / Tourism
PEACH | Internet
Pegasus | Business Services
Pendulum | Education
"PIMPMYPIC | Other, Computer Software"
Pink Algae | Computer Software
PLAID | Computer Software
"Playbuk | Computer Software,Sports, Professional"
PockeTeach | Education
POMPOM | Electric Utilities
POV | Environment
POWERCUBE | Electric Utilities
"PREVIEW | TV / Movies / Music,"
ProCO2 | Environment
ProFashion | Computer Software
PRONTO | Other
Propaganda | Other
Protein | Other
"PSYCARE | Health, Health Professionals"
"Raconteur | Books, Magazines & Newspapers"
RAVERSE | Other
REP REP | Real Estate
result | Health
"Resume Survivor | Labor,"
RETURNZ | Other
Ricochet | Waste Management
"Rise Capital | Internet,Misc Business"
RISE HOLDINGS | Securities & Investment
"Rockstar Entrpreneur | Internet,Music Production,TV / Movies / Music"
Round Z | Business Associations
RUN IT BACK | Entertainment Industry
Sandy Apples | Health
Scoot | Transportation
Second Chances | Women's Issues
semantexts | Computer Software
SEMANTISCALE | Other
Sh*theads app | Internet
SharperBarber | Other
SHAUP | Other
SHITSTORM MEDIA | Publishing & Printing
SIDE HUSTLE | Other
Sitterz | Computer Software
Slopes | Environment
Snakeit | Computer Software
SoftWear | Clothing Manufacturing
SOURCEBRICKS | Miscellaneous Services
soursashimi | Food Products Manufacturing
Sparkles | Other
Split | Business Services
Spotterz | Computer Software
Spoucey | Other
Surf&Solar | Electronics Manufacturing & Equipment
SVS | Other
"SWEAT FACTORY H AF | Education, Sports, Professional"
SweetSpots | Internet
TechCards | Labor
The Agency | Business Services
The Algorithm Project | Publishing & Printing
THE AS | Health
"The Buddy | Electric Utilities,Energy & Natural Resources"
THE EMERGENCY BACKPACK | Internet
THE OLIVIA PROJECT | Internet
TIME MACHINE | Entertainment Industry
tofushi | Food Products Manufacturing
"TOLL'D | Transportation,Computer Software"
"TORQUE | Internet,Car Dealers"
Toy Trader | Internet
TRENDZ | Internet
TRILLION TRACK | Music Production
TRUNKSHOW | Other
U.GOD | Other
UMAMI | Health
Vanilla | Business Services
Veeting | Other
VRSING | Computer Software
Waterblades | Entertainment Industry
webappapp | Internet
wetlabs | HMOs & Health Care Services
"Whatyallthink | Other, Computer Software"
White Compass | Computer Software
Wincy | Gambling & Casinos
Wingman | Other
WWMD | Other
XPR | Lodging / Tourism
